 0, 96890, 23628, 55906, 106894, 74121, 78573, 71791, None, 21638, 21709, 23150, 10910, 24099, 33207, 24884, 23698, 12604, 21816, 72334, 662, 22781, 22163, 27298   
 97163, 0, 79641, 61610, 95058, 141796, 122784, 121452, None, 75881, 75622, 74770, 92443, 80113, 79092, 90499, 82667, 96907, 76206, 25188, 96986, 75721, 75927, 70050   
 23675, 79724, 0, 58890, 87713, 63625, 58435, 51778, None, 3935, 4089, 5863, 18954, 1057, 14381, 12329, 3761, 23418, 4188, 55168, 23497, 6386, 4831, 10132   
 55906, 61610, 58799, 0, 96926, 120952, 115201, 107191, None, 55285, 55356, 54267, 69917, 59270, 66796, 69656, 58869, 67726, 55367, 44174, 55783, 52573, 55669, 57090   
 107888, 95058, 87729, 96926, 0, 145916, 94429, 94244, None, 85596, 85562, 84893, 109041, 86959, 73099, 94619, 84322, 107631, 85433, 70502, 107710, 86492, 85359, 79778   
 65999, 150207, 63371, 120668, 145620, 0, 91153, 72842, None, 65713, 65866, 67641, 68069, 62601, 74239, 52139, 65571, 65743, 65965, 125651, 65822, 68164, 66609, 77766   
 78593, 123137, 58434, 115170, 94462, 95555, 0, 18315, None, 60312, 60278, 60919, 75704, 57665, 50035, 60845, 55028, 78338, 60149, 98581, 78416, 62667, 60074, 63744   
 73632, 120920, 51892, 108998, 93679, 77453, 18525, 0, None, 52191, 52344, 54747, 65529, 51123, 43863, 47427, 48950, 73376, 53976, 96364, 73455, 56494, 53902, 57571   
 None, None, None, None, None, None, None, None, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None   
 21625, 75807, 3913, 55190, 87348, 66066, 60398, 52306, None, 0, 191, 2162, 16903, 4384, 11992, 14770, 3983, 21368, 252, 51251, 21447, 2685, 714, 6215   
 21695, 75611, 4284, 55259, 87152, 66438, 60203, 52677, None, 191, 0, 2231, 16973, 4756, 11797, 15141, 4354, 21438, 367, 51055, 21517, 2754, 519, 6020   
 23141, 74780, 5775, 54252, 84890, 67929, 60935, 54763, None, 2261, 2332, 0, 18420, 6246, 12531, 16632, 5845, 22884, 2343, 50225, 22963, 1748, 2645, 5188   
 10910, 92168, 18906, 66031, 102172, 68077, 77057, 63689, None, 16917, 16987, 18428, 0, 19378, 28486, 16781, 18976, 10654, 17095, 67613, 10733, 18061, 17442, 22577   
 24045, 80094, 1057, 59261, 86943, 62856, 57665, 51008, None, 4306, 4459, 6234, 19324, 0, 15561, 11559, 2990, 23789, 4559, 55538, 23868, 6757, 5202, 10502   
 33231, 78235, 16265, 66773, 76995, 74452, 50046, 43873, None, 11914, 11880, 12521, 28510, 15495, 0, 23156, 12859, 32974, 11751, 53679, 33053, 14269, 11678, 15558   
 25079, 99113, 12277, 69573, 94526, 52599, 60794, 47425, None, 14619, 14772, 16546, 16975, 11506, 23144, 0, 14477, 24822, 14871, 74557, 24900, 17070, 15514, 26672   
 23720, 81931, 3741, 58742, 84308, 65761, 55029, 48912, None, 3773, 3926, 5714, 18998, 2971, 12925, 14464, 0, 23463, 4026, 57376, 23542, 6237, 4391, 12339   
 12608, 96636, 23374, 67729, 106640, 73868, 78320, 71538, None, 21384, 21455, 22896, 10657, 23846, 32953, 24631, 23444, 0, 21563, 72080, 12429, 22527, 21909, 27044   
 21481, 76256, 3662, 55423, 86377, 65815, 59427, 52054, None, 441, 596, 2395, 16760, 4133, 12397, 14518, 3732, 21225, 0, 51701, 21304, 2918, 1119, 6664   
 72607, 25188, 55085, 44183, 70502, 117240, 98229, 96896, None, 51325, 51066, 50214, 67887, 55557, 54536, 65943, 58111, 72352, 51650, 0, 72430, 51165, 51371, 45494   
 662, 96713, 23450, 55783, 106717, 73944, 78396, 71613, None, 21460, 21531, 22972, 10733, 23921, 33029, 24706, 23520, 12426, 21639, 72157, 0, 22604, 21985, 27121   
 23586, 75834, 6220, 52952, 86577, 68373, 62622, 54613, None, 2706, 2777, 1688, 18865, 6691, 14217, 17077, 6290, 23329, 2788, 51278, 23408, 0, 3090, 6242   
 22538, 76305, 4016, 56597, 86017, 66170, 59067, 52056, None, 1071, 1037, 3887, 17817, 4487, 11216, 14873, 4407, 22282, 907, 51749, 22361, 4094, 0, 6712   
 27563, 70041, 10041, 57355, 79778, 72195, 63776, 57603, None, 6280, 6022, 5169, 22841, 10512, 15705, 20898, 13066, 27306, 6604, 45485, 27385, 6120, 6325, 0 
